x	y	z
6.162	-0.120889	0.974014
6.163	-0.119896	0.97429
6.164	-0.118903	0.974566
6.165	-0.11791	0.97484
6.166	-0.116917	0.975113
6.167	-0.115924	0.975386
6.168	-0.114931	0.975657
6.169	-0.113937	0.975928
6.17	-0.112944	0.976198
6.171	-0.11195	0.976466
6.172	-0.110956	0.976734
6.173	-0.109962	0.977001
6.174	-0.108968	0.977267
6.175	-0.107974	0.977532
6.176	-0.10698	0.977796
6.177	-0.105986	0.978059
6.178	-0.104991	0.978321
6.179	-0.103997	0.978582
6.18	-0.103002	0.978842
6.181	-0.102008	0.979102
6.182	-0.101013	0.97936
6.183	-0.100018	0.979617
6.184	-0.0990228	0.979874
6.185	-0.0980276	0.980129
6.186	-0.0970324	0.980384
6.187	-0.0960371	0.980637
6.188	-0.0950416	0.98089
6.189	-0.0940461	0.981142
6.19	-0.0930505	0.981392
6.191	-0.0920548	0.981642
6.192	-0.091059	0.981891
6.193	-0.0900631	0.982139
6.194	-0.0890671	0.982386
6.195	-0.0880711	0.982632
6.196	-0.0870749	0.982877
6.197	-0.0860787	0.983121
6.198	-0.0850823	0.983364
6.199	-0.0840859	0.983606
6.2	-0.0830894	0.983847
6.201	-0.0820928	0.984088
6.202	-0.0810962	0.984327
6.203	-0.0800994	0.984565
6.204	-0.0791026	0.984802
6.205	-0.0781057	0.985039
6.206	-0.0771087	0.985274
6.207	-0.0761116	0.985509
6.208	-0.0751145	0.985742
6.209	-0.0741173	0.985975
6.21	-0.07312	0.986206
6.211	-0.0721226	0.986437
6.212	-0.0711252	0.986667
6.213	-0.0701277	0.986895
6.214	-0.0691301	0.987123
6.215	-0.0681325	0.98735
6.216	-0.0671348	0.987576
6.217	-0.066137	0.987801
6.218	-0.0651392	0.988025
6.219	-0.0641412	0.988247
6.22	-0.0631433	0.988469
6.221	-0.0621452	0.98869
6.222	-0.0611471	0.98891
6.223	-0.060149	0.989129
6.224	-0.0591508	0.989347
6.225	-0.0581525	0.989565
6.226	-0.0571541	0.989781
6.227	-0.0561558	0.989996
6.228	-0.0551573	0.99021
6.229	-0.0541588	0.990423
6.23	-0.0531602	0.990635
6.231	-0.0521616	0.990847
6.232	-0.051163	0.991057
6.233	-0.0501642	0.991266
6.234	-0.0491655	0.991475
6.235	-0.0481667	0.991682
6.236	-0.0471678	0.991888
6.237	-0.0461689	0.992094
6.238	-0.0451699	0.992298
6.239	-0.0441709	0.992502
6.24	-0.0431719	0.992704
6.241	-0.0421728	0.992906
6.242	-0.0411737	0.993106
6.243	-0.0401745	0.993306
6.244	-0.0391753	0.993504
6.245	-0.038176	0.993702
6.246	-0.0371767	0.993898
6.247	-0.0361774	0.994094
6.248	-0.035178	0.994289
6.249	-0.0341786	0.994482
